2025-12-05 10:47:57.980 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 3/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 187502 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-05 10:47:57.980 | WARNING  | __main__:process_document:329 - 문서 433775_1 1번째 생성 실패
2025-12-05 10:50:10.524 | INFO     | __main__:load_configuration:87 - 설정 불러오기 성공: 1개의 사용자 분류, 5개의 질문 분류
2025-12-05 10:50:10.525 | INFO     | __main__:main:505 - 사용자 지정 설정 파일을 사용합니다: /home/jy/projects/RAG-eval-framework/streamlit/uploaded_files/datamorgana_config_template_medical.json
2025-12-05 10:50:10.543 | INFO     | __main__:main:524 - 1115개의 문서를 성공적으로 불러왔습니다
2025-12-05 10:50:10.543 | INFO     | __main__:generate_benchmark:356 - 벤치마크 데이터셋 생성을 시작합니다, 총 1115개의 문서
2025-12-05 10:50:42.331 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 1/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 199325 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-05 10:50:49.434 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 2/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 199325 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-05 10:51:00.488 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 3/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 199325 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-05 10:51:00.488 | WARNING  | __main__:process_document:329 - 문서 54109_1 1번째 생성 실패
2025-12-05 11:05:48.637 | INFO     | __main__:load_configuration:87 - 설정 불러오기 성공: 1개의 사용자 분류, 5개의 질문 분류
2025-12-05 11:05:48.637 | INFO     | __main__:main:505 - 사용자 지정 설정 파일을 사용합니다: /home/jy/projects/RAG-eval-framework/streamlit/uploaded_files/datamorgana_config_template_medical.json
2025-12-05 11:05:48.651 | INFO     | __main__:main:524 - 814개의 문서를 성공적으로 불러왔습니다
2025-12-05 11:05:48.651 | INFO     | __main__:generate_benchmark:356 - 벤치마크 데이터셋 생성을 시작합니다, 총 814개의 문서
2025-12-05 11:11:10.838 | INFO     | __main__:load_configuration:87 - 설정 불러오기 성공: 1개의 사용자 분류, 5개의 질문 분류
2025-12-05 11:11:10.838 | INFO     | __main__:main:505 - 사용자 지정 설정 파일을 사용합니다: /home/jy/projects/RAG-eval-framework/streamlit/uploaded_files/datamorgana_config_template_medical.json
2025-12-05 11:11:10.855 | INFO     | __main__:main:524 - 814개의 문서를 성공적으로 불러왔습니다
2025-12-05 11:11:10.855 | INFO     | __main__:generate_benchmark:356 - 벤치마크 데이터셋 생성을 시작합니다, 총 814개의 문서
2025-12-05 11:22:05.880 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 1/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 316787 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-05 11:22:12.581 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 2/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 316787 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-05 11:22:24.965 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 3/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 316787 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-05 11:22:24.965 | WARNING  | __main__:process_document:329 - 문서 54112_1 1번째 생성 실패
2025-12-05 11:28:30.028 | INFO     | __main__:load_configuration:87 - 설정 불러오기 성공: 1개의 사용자 분류, 5개의 질문 분류
2025-12-05 11:28:30.028 | INFO     | __main__:main:505 - 사용자 지정 설정 파일을 사용합니다: /home/jy/projects/RAG-eval-framework/streamlit/uploaded_files/datamorgana_config_template_medical.json
2025-12-05 11:28:30.040 | INFO     | __main__:main:524 - 513개의 문서를 성공적으로 불러왔습니다
2025-12-05 11:28:30.040 | INFO     | __main__:generate_benchmark:356 - 벤치마크 데이터셋 생성을 시작합니다, 총 513개의 문서
2025-12-05 11:28:32.639 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 1/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 316789 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-05 11:28:39.947 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 2/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 316789 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-05 11:28:52.745 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 3/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 316789 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-05 11:28:52.745 | WARNING  | __main__:process_document:329 - 문서 54112_1 1번째 생성 실패
2025-12-05 11:41:15.526 | INFO     | __main__:load_configuration:87 - 설정 불러오기 성공: 1개의 사용자 분류, 5개의 질문 분류
2025-12-05 11:41:15.526 | INFO     | __main__:main:505 - 사용자 지정 설정 파일을 사용합니다: /home/jy/projects/RAG-eval-framework/streamlit/uploaded_files/datamorgana_config_template_medical.json
2025-12-05 11:41:15.534 | INFO     | __main__:main:524 - 212개의 문서를 성공적으로 불러왔습니다
2025-12-05 11:41:15.534 | INFO     | __main__:generate_benchmark:356 - 벤치마크 데이터셋 생성을 시작합니다, 총 212개의 문서
2025-12-05 11:42:40.244 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 1/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 1313390 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-05 11:43:28.063 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 2/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 1313390 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-05 11:44:21.066 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 3/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 1313390 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-05 11:44:21.066 | WARNING  | __main__:process_document:329 - 문서 54096_1 1번째 생성 실패
2025-12-05 11:48:34.811 | SUCCESS  | __main__:main:552 - 벤치마크 데이터셋 생성 완료!
2025-12-05 11:48:34.811 | INFO     | __main__:main:553 - 총 처리한 문서 수: 212
2025-12-05 11:48:34.811 | INFO     | __main__:main:554 - 총 생성된 Q&A 쌍 수: 210
2025-12-05 11:48:34.812 | INFO     | __main__:main:555 - 결과가 저장된 위치: /home/jy/projects/RAG-eval-framework/streamlit/generated_qa_data.json
